Date,Portfolio Value,Reference Values
2008-08-15,1143797.8195714063,892897.674514579
2008-08-22,1110117.6043225022,879320.306212988
2008-08-29,1124611.9717102377,880352.0211295222
2008-09-05,1077054.1236258151,860006.6029754666
2008-09-12,1074466.1322043445,865361.2033922795
2008-09-19,1081282.7388680917,870679.6937870135
2008-09-26,1017420.6381413474,827775.8289829362
2008-10-03,924191.8989572589,732460.8464189182
2008-10-10,768057.2301866991,595480.0569506639
2008-10-17,805664.7833587159,615840.9508284676
2008-10-24,749464.9065080817,556568.9288735742
2008-10-31,869945.2189971299,622603.8421063499
2008-11-07,795454.4637854407,595170.5424757038
2008-11-14,739613.8878614657,547505.3133318207
2008-11-21,664990.4017676907,490688.7728782788
2008-11-28,756832.579896166,561577.904793348
2008-12-05,738205.6951782047,548815.5912758192
2008-12-12,735924.4959049752,554448.7547200961
2008-12-19,746130.5546377513,567830.0971875456
2008-12-26,728795.295671323,552209.933351217
2009-01-02,791613.0874422665,598905.3504735577
2009-01-09,788632.1002311247,583063.3679301741
2009-01-16,764789.4647486215,553762.664300601
2009-01-23,720665.0238823246,536863.1739677698
2009-01-30,694385.3056551543,529723.7067453528
2009-02-06,739857.4597477538,562098.9208261981
2009-02-13,719639.4335258681,533288.2817819787
2009-02-20,665866.0633608346,489842.7666467208
2009-02-27,659829.9970623542,468604.91508986295
2009-03-06,615045.2256536583,429183.0881290887
2009-03-13,681025.3246533395,482672.34797680756
2009-03-20,682270.5025654949,493562.0989208267
2009-03-27,741064.5922863504,534247.7766543555
2009-04-03,777346.2477427288,559922.0023523106
2009-04-10,809768.7119572032,578833.3367723835
2009-04-17,831485.418930683,600953.3045828782
2009-04-24,833473.472828139,606416.2350659271
2009-05-01,857667.3182114214,616269.1125188294
2009-05-08,858453.6380756454,667607.2467655744
2009-05-15,798989.0216562453,613519.5922662655
2009-05-22,793660.0781221163,622330.4376534682
2009-05-29,812132.3000964896,650326.0219136255
2009-06-05,863483.9784429278,669521.0779357456
2009-06-12,875510.8143205559,672518.2097682777
