Date,Portfolio Value,Reference Values
2008-03-28,1000000.0000000001,1000000.0
2008-04-04,1060184.5026868223,1052311.9982668066
2008-04-11,1039057.9176719579,1018684.5294906403
2008-04-18,1088661.259855261,1064666.8579425355
2008-04-25,1095137.9249348594,1069667.355650153
2008-05-02,1113473.0401416824,1085178.2671577386
2008-05-09,1113626.3426812403,1067114.4083427512
2008-05-16,1158058.0000811822,1103774.96589239
2008-05-23,1122445.025303078,1061780.153762377
2008-05-30,1154213.5762779575,1086079.9962525547
2008-06-06,1145390.14108665,1054086.1795377764
2008-06-13,1170052.473994953,1049612.6663660908
2008-06-20,1152866.3340657542,1017542.7296627888
2008-06-27,1106519.5209434659,981034.4120901966
2008-07-04,1076894.186313839,957478.2033340557
2008-07-11,1068239.93551617,935186.7574641507
2008-07-18,1087419.9494240384,966671.1557941952
2008-07-25,1079485.1427039818,961137.8181669138
2008-08-01,1083761.2500423992,967420.6449119645
2008-08-08,1124848.9129195565,1002517.8150050066
2008-08-15,1148603.6070402055,1013508.370271046
2008-08-22,1146472.1594223797,998097.000286914
2008-08-29,1130733.270604887,999268.0770334285
2008-09-05,1096776.803166088,976174.4435921609
2008-09-12,1131671.7276615656,982252.3319065715
2008-09-19,1142755.2085019003,988289.2325348541
2008-09-26,1075873.3105887976,939590.0060310452
2008-10-03,951740.6599045596,831400.0808042955
2008-10-10,808028.2198941243,675916.2211695543
2008-10-17,821972.2001147046,699027.4207620196
2008-10-24,719562.8572062064,631749.0616747569
2008-10-31,830282.8205600106,706703.8288354229
2008-11-07,795013.1435992803,675564.8981456
2008-11-14,749329.3302040928,621461.1524566262
2008-11-21,685047.9839175447,556969.9560260682
2008-11-28,765346.7846148467,637434.6392790852
2008-12-05,751066.262556937,622948.4199246998
2008-12-12,727775.0135550193,629342.4989606693
2008-12-19,764853.3468824008,644531.3643629635
2008-12-26,736468.4206429162,626801.2624207328
2009-01-02,790953.3917198097,679804.1959679828
2009-01-09,767378.5455613254,661822.3125252513
2009-01-16,745337.701295945,628563.7329242371
2009-01-23,719826.2254257576,609381.4958163283
2009-01-30,709764.4444008718,601277.6447304474
2009-02-06,757560.562978515,638026.0330360751
2009-02-13,734581.9437059583,605323.7148896552
2009-02-20,683313.1634316394,556009.6730939262
2009-02-27,650612.5585944108,531903.0582669234
2009-03-06,612424.7946873283,487156.2157826012
2009-03-13,671301.0776602679,547870.6897056496
2009-03-20,689109.3548270256,560231.404765111
2009-03-27,759814.9877845107,606412.8162639136
2009-04-03,820812.6806494108,635555.061100929
2009-04-10,841552.5912823786,657020.8978645412
2009-04-17,870208.6015718755,682128.7833098138
2009-04-24,887834.0494821627,688329.6346826085
2009-05-01,918092.8156799264,699513.4176118228
2009-05-08,977336.5835855664,757786.1965183885
2009-05-15,921327.7311039488,696392.4980823614
2009-05-22,938587.9603481621,706393.493497596
2009-05-29,977463.8903092216,738170.6610142692
2009-06-05,1021541.553582962,759958.543883173
2009-06-12,1001121.0482513696,763360.5218317979
2009-06-19,966006.1500581303,732057.6403974631
2009-06-26,983394.3322975496,730148.7853006443
2009-07-03,959953.7054644865,708723.9362231601
2009-07-10,934441.593286679,692551.3663537937
2009-07-17,1006125.0211362712,745062.4476675076
2009-07-24,1069610.6458864543,787057.2597975205
2009-07-31,1098975.0344882885,797204.6398060692
2009-08-07,1148650.925373656,831042.902396608
2009-08-14,1129703.3241735294,823987.1649988577
2009-08-21,1160177.1488064786,843298.2205488832
2009-08-28,1147075.0619880992,849780.1303408415
2009-09-04,1141216.1497325466,835118.249474479
2009-09-11,1187634.5563436602,866268.8909317671
2009-09-18,1231180.7850256443,895908.8433860511
2009-09-25,1195097.3340543804,868599.3336573312
2009-10-02,1171211.62408334,850008.4903064122
2009-10-09,1238888.8212792424,894919.2835352463
2009-10-16,1249828.1321080725,907953.3677239537
2009-10-23,1240422.3343333143,899445.4951605251
2009-10-30,1161965.6850273784,852420.908404232
2009-11-06,1217083.9107871416,882248.2331379585
2009-11-13,1250787.0492541676,902461.0177828002
2009-11-20,1249961.5784523506,895089.089663491
2009-11-27,1245969.8567593922,893449.5822183705
2009-12-04,1282110.4585634205,912678.66239614
2009-12-11,1280564.6569622415,916923.8156022555
2009-12-18,1265845.1698787925,922017.9994495941
2009-12-25,1291847.3338397222,949140.1368988719
