Date,Portfolio Value,Reference Values
2006-01-13,1000000.0000000001,1000000.0
2006-01-20,1006347.8692883617,986200.5519779209
2006-01-27,1038712.4921537588,1008640.6670315466
2006-02-03,1043328.386111279,992325.8765851897
2006-02-10,1040195.9407686518,993205.0819233053
2006-02-17,1053675.07848402,1010125.4177680993
2006-02-24,1056773.96322438,1013240.4830389062
2006-03-03,1077758.1581072316,1011185.1222153646
2006-03-10,1059676.7460496775,1003388.7252104853
2006-03-17,1093992.6064957397,1028629.4877318833
2006-03-24,1087994.58749554,1025584.293083973
2006-03-31,1122422.815593753,1022527.4533322465
2006-04-07,1104676.5206317734,1022754.5328566603
2006-04-14,1099233.2353270277,1015552.0361464021
2006-04-21,1107091.071809005,1035849.4520978653
2006-04-28,1110068.1444838408,1032542.2426140928
2006-05-05,1131875.78098981,1047121.9125918506
2006-05-12,1078567.8566874985,1019592.8871705888
2006-05-19,1036186.8686851257,998218.2991161364
2006-05-26,1039111.4521915568,1005915.7127385787
2006-06-02,1044510.4744566891,1014195.3815518263
2006-06-09,1004185.7432752907,983766.7252803555
2006-06-16,1006704.4188138719,981065.0611950203
2006-06-23,1004595.4653374266,976395.3745647641
2006-06-30,1018591.512614661,997502.1252314462
2006-07-07,1017547.8724453507,986293.7128084495
2006-07-14,971938.3776014474,959055.8149825905
2006-07-21,969575.559246057,954205.6292431846
2006-07-28,1001831.9297177398,982672.0855216422
2006-08-04,970537.0507073991,986177.2617702883
2006-08-11,940689.0166059034,973047.407217635
2006-08-18,991535.4148861314,1005741.0361813372
2006-08-25,978684.2035816545,995219.6848834903
2006-09-01,1005514.6944778534,1012891.1299244228
2006-09-08,982697.1079024357,1004454.252209658
2006-09-15,1011322.6664139815,1025636.696051145
2006-09-22,1006154.407722137,1017910.1696691622
2006-09-29,1014306.6311819466,1032932.3535919318
2006-10-06,1037198.244070421,1044204.8140859171
2006-10-13,1129002.7207979609,1060216.8318330552
2006-10-20,1147631.7120984425,1058726.2585445943
2006-10-27,1181014.3560521395,1067559.0697891065
2006-11-03,1199802.7286885176,1057794.6502393063
2006-11-10,1212713.2389299977,1074872.1949856177
2006-11-17,1244917.1095232603,1091914.8044204807
2006-11-24,1275431.3368553652,1096782.4578156108
2006-12-01,1266891.5000579965,1091099.6471533538
2006-12-08,1288207.9883811912,1104305.1948808117
2006-12-15,1321104.2622761826,1111466.9337277135
2006-12-22,1297320.3701633725,1097539.3895636573
2006-12-29,1317204.5580535629,1101492.9023092235
2007-01-05,1309139.5194811858,1093719.7955119766
2007-01-12,1345324.8566575074,1113446.6013764509
2007-01-19,1344059.8242123006,1114855.658938199
2007-01-26,1345899.7065609468,1112514.9930711628
2007-02-02,1396826.9526954503,1138600.025619228
2007-02-09,1414749.0109949277,1135863.4262224443
2007-02-16,1443730.4139527637,1153604.7418862735
2007-02-23,1489872.7406203123,1156434.502113586
2007-03-02,1397251.8996014686,1102238.1889534541
2007-03-09,1436563.3402695628,1116148.2654617862
2007-03-16,1441218.9242637951,1104968.9657983298
2007-03-23,1490386.33666729,1142937.8267907256
2007-03-30,1452677.888199312,1128713.3324793589
2007-04-06,1495555.572000767,1147834.592945396
2007-04-13,1511130.000038239,1154483.9472243895
2007-04-20,1523251.2956183571,1178414.635566476
2007-04-27,1503173.0760291938,1189704.5637161855
2007-05-04,1526881.9528531213,1195853.1785310865
2007-05-11,1553986.3924621022,1196353.9179951788
2007-05-18,1557762.3006940272,1204290.0562458516
2007-05-25,1570688.6181070888,1197431.0900981682
2007-06-01,1615170.2398255933,1219358.8205838855
2007-06-08,1595793.2382899178,1195026.3761601436
2007-06-15,1619596.515964075,1213990.4277246634
2007-06-22,1617868.2365383883,1192842.9191946248
2007-06-29,1633236.3394376196,1190810.8485787152
2007-07-06,1688000.4116301923,1214101.0562109163
2007-07-13,1709828.3874524308,1224913.5351041653
2007-07-20,1676981.1016765852,1206991.7203311867
2007-07-27,1548636.9232244918,1137016.2915002385
2007-08-03,1517364.7928437355,1113988.0987038997
2007-08-10,1489679.8856055466,1127222.759190898
2007-08-17,1457016.9831432821,1113877.4702176466
2007-08-24,1545600.5085572365,1143386.1632876454
2007-08-31,1567561.1384415645,1136329.2303750885
2007-09-07,1531636.6431722466,1117807.6927555806
2007-09-14,1559370.7490975095,1134827.0119828116
2007-09-21,1628956.4264831282,1164527.849265776
2007-09-28,1650316.4355551577,1163444.8546108787
2007-10-05,1710499.565235511,1195096.24678304
2007-10-12,1714854.3476141184,1193541.6254235904
2007-10-19,1660492.094717791,1141557.8819885177
2007-10-26,1693559.8952828704,1166303.7275977314
2007-11-02,1658634.0439533745,1146862.2267767517
2007-11-09,1605881.9033199262,1109161.2031721263
2007-11-16,1580948.4232760707,1105236.8031861004
2007-11-23,1537184.053203191,1087891.4210520189
2007-11-30,1607799.8743507313,1118966.380585283
2007-12-07,1627899.7961503998,1141371.5603274603
2007-12-14,1594362.5396373393,1103257.1355373631
2007-12-21,1585797.4244021047,1115263.2375717629
2007-12-28,1561686.5983916707,1105557.043541043
2008-01-04,1491840.9222028386,1045025.7939049525
2008-01-11,1476566.034011764,1033048.804630093
2008-01-18,1418434.4961639047,982916.6327017803
2008-01-25,1461137.2146241383,1005484.8438973832
2008-02-01,1564506.8383219794,1073067.2038941225
2008-02-08,1504841.9622716468,1022579.8562994186
2008-02-15,1525863.2014467877,1033299.1743621392
2008-02-22,1512879.5588799778,1037415.7185611307
2008-02-29,1498824.1809041002,1014323.4776938034
2008-03-07,1442630.560175517,983265.9858162634
2008-03-14,1424280.0507375938,978409.9775249495
2008-03-21,1413169.116184158,1004710.4444936124
2008-03-28,1426791.7455201976,994392.8825125473
2008-04-04,1531926.7598922472,1046411.5612590684
2008-04-11,1529410.242381949,1012972.6456511357
2008-04-18,1604642.0374673563,1058697.1457850544
2008-04-25,1598949.6868320436,1063669.6051145294
2008-05-02,1628816.9949867106,1079093.5451189545
2008-05-09,1589146.6896605466,1061130.9724826196
2008-05-16,1649416.0326842216,1097585.9699789223
2008-05-23,1556002.3690127074,1055826.6276943858
2008-05-30,1592077.0732392934,1079990.2181127944
2008-06-06,1580878.4495982681,1048175.7944872079
2008-06-13,1576722.0889487513,1043727.3648294575
2008-06-20,1572484.9978015546,1011837.2480290661
2008-06-27,1507217.2221140899,975533.6368823728
2008-07-04,1419628.0953898116,952109.5105562866
2008-07-11,1438887.2969256474,929943.0554423393
2008-07-18,1485680.8371899382,961250.9170519256
2008-07-25,1508419.3392588766,955748.605498818
2008-08-01,1548603.399421824,961996.2036961559
2008-08-08,1643209.6438269266,996896.5798330093
2008-08-15,1738883.0757002516,1007825.5097644195
2008-08-22,1692353.2221650525,992500.5531424312
2008-08-29,1652925.7072976797,993665.0635240412
2008-09-05,1637618.3358708154,970700.918798691
2008-09-12,1632601.0536439915,976744.7276792472
2008-09-19,1648319.0333777228,982747.7786964469
2008-09-26,1428919.9547813179,934321.614477193
2008-10-03,1206188.2103566236,826738.3228721484
2008-10-10,998310.9303133531,672126.2795057817
2008-10-17,1081012.7404825762,695107.891886856
2008-10-24,943609.1211828078,628206.7704633587
2008-10-31,1105991.6448256862,702741.2574383102
2008-11-07,1036087.077994228,671776.9263912989
2008-11-14,907627.6243766604,617976.5467609144
2008-11-21,724406.3102422854,553846.9600456489
2008-11-28,892513.585797876,633860.4683660755
2008-12-05,862926.5888085099,619455.4749455592
2008-12-12,825475.9161188988,625813.70162915
2008-12-19,871630.022469879,640917.4012786323
2008-12-26,854342.5980046585,623286.7141010562
2009-01-02,945638.1078880697,675992.4539727271
2009-01-09,988387.8218792399,658111.3970631047
2009-01-16,915867.2958051175,625039.3022253793
2009-01-23,870115.104562452,605964.6221746067
2009-01-30,846290.9213633902,597906.2103338651
2009-02-06,932393.4487739922,634448.5461087886
2009-02-13,863535.270502668,601929.5937023278
2009-02-20,795892.4923385825,552892.0615327286
2009-02-27,783014.2254844867,528920.6153272856
2009-03-06,662713.9440310146,484424.6736459655
2009-03-13,782977.2446175949,544798.7143805386
2009-03-20,760914.2599567156,557090.1214584326
2009-03-27,846324.589421036,603012.5883572251
2009-04-03,897137.3205665253,631991.4292035912
2009-04-10,952640.9329607813,653336.9044985033
2009-04-17,991153.1506460027,678304.0070802228
2009-04-24,963922.4294846255,684470.0895508481
2009-05-01,1068246.6856177452,695591.1636952242
2009-05-08,1168645.831660829,753537.2002841404
2009-05-15,1029370.4679718936,692487.7435282334
2009-05-22,1075971.3946886703,702432.6621871833
2009-05-29,1091195.752193441,734031.6513921721
2009-06-05,1121840.273255091,755697.3670420272
2009-06-12,1140525.4759643287,759080.2697006044
2009-06-19,1073533.5384464439,727952.9072001677
2009-06-26,1081010.6509142662,726054.7552781433
2009-07-03,1044438.2133671182,704750.0378465875
2009-07-10,1002993.1171224015,688668.1494765526
2009-07-17,1065494.0824161803,740884.7949879473
2009-07-24,1190360.7888302067,782644.1372724838
2009-07-31,1287768.6006517408,792734.6197291348
2009-08-07,1448877.5174296258,826383.1472057572
2009-08-14,1493749.4575339144,819366.9721565567
2009-08-21,1484185.0734085506,838569.7483493065
2009-08-28,1518568.012680437,845015.3133115182
2009-09-04,1539024.3966606162,830435.6433337603
2009-09-11,1657604.0817317686,861411.6194845878
2009-09-18,1763927.4989257164,890885.3772431382
2009-09-25,1696066.616854363,863728.9951439918
2009-10-02,1603325.0996183811,845242.3928359322
2009-10-09,1719189.9304263163,889901.3659706776
2009-10-16,1751736.012253824,902862.3665179976
2009-10-23,1718283.7344851384,894402.1985956004
2009-10-30,1589036.7788577497,847641.2842220488
2009-11-06,1644530.3823242332,877301.3636416569
2009-11-13,1682732.8365440066,897400.8128282465
2009-11-20,1684906.9191130393,890070.2199760113
2009-11-27,1682602.5625174579,888439.9054417572
2009-12-04,1790023.0322214754,907561.1659077944
2009-12-11,1846563.02225625,911782.5160411309
2009-12-18,1877261.6701319758,916848.1362011347
2009-12-25,1953484.757956117,943818.1966392235
2010-01-01,1948467.0491388775,930845.5509880875
2010-01-08,2081218.0821044978,962537.7010236051
2010-01-15,2008765.506312031,952476.3313264942
2010-01-22,1952393.1521732146,917511.9071186524
2010-01-29,1846540.0647690042,900888.5214211689
2010-02-05,1846238.0951173771,894675.8585352792
2010-02-12,1930312.465519283,906850.8145750123
2010-02-19,2015857.6980397524,939905.4417570137
2010-02-26,2056252.1790072068,937564.7758899775
2010-03-05,2174893.893772102,974701.011959522
2010-03-12,2212166.1020862153,985938.5371420591
2010-03-19,2195730.871235913,992256.0059622937
2010-03-26,2228619.5186878946,997583.6409581596
2010-04-02,2251172.443457257,1011289.9281497098
2010-04-09,2295319.014216495,1028553.794557079
2010-04-16,2321508.61732696,1028216.0865464121
2010-04-23,2389437.000314766,1062644.8359787131
2010-04-30,2294038.4708950478,1029502.8705180911
2010-05-07,2062214.5551059654,956750.084427003
2010-05-14,2162690.5242256005,984873.0101428857
2010-05-21,2029184.6777193933,942432.4292851073
2010-05-28,2091205.465769177,951835.8506166085
2010-06-04,2004028.231976578,923008.3961198516
2010-06-11,2059673.0831055832,951864.9633761487
2010-06-18,2106776.127542615,974677.7217518896
2010-06-25,2022528.6314812885,937768.5652067589
2010-07-02,1861706.0725674937,884026.411095455
2010-07-09,2015849.4034550474,933867.4554283654
2010-07-16,1968296.8420443644,919555.6228383777
2010-07-23,2119656.982318397,960237.7930199249
