 Symbol,Date, Close
Index,1/20/2006,981.2127903672075
Index,1/27/2006,999.8413724861647
Index,2/3/2006,985.7307070127682
Index,2/10/2006,988.8452037027483
Index,2/17/2006,1004.7626369261246
Index,2/24/2006,1005.5649856161324
Index,3/3/2006,1006.7584154461597
Index,3/10/2006,1000.7929972556946
Index,3/17/2006,1024.6337304950312
Index,3/24/2006,1020.4788391300164
Index,3/31/2006,1018.0995669047526
Index,4/7/2006,1019.9227246530158
Index,4/14/2006,1014.6952140905207
Index,4/21/2006,1032.7440823390707
Index,4/28/2006,1030.2760352277548
Index,5/5/2006,1044.6662438849871
Index,5/12/2006,1017.2666972608604
Index,5/19/2006,997.2566965071492
Index,5/26/2006,1005.0538627323515
Index,6/2/2006,1013.6242398846656
Index,6/9/2006,981.430203749177
Index,6/16/2006,984.5435963173854
Index,6/23/2006,979.6596684097874
Index,6/30/2006,1001.4574654918027
Index,7/7/2006,993.5327680982548
Index,7/14/2006,964.882352050281
Index,7/21/2006,963.1258638987963
Index,7/28/2006,993.7257931517439
Index,8/4/2006,995.7378073351962
Index,8/11/2006,983.858624938291
Index,8/18/2006,1015.3864459812423
Index,8/25/2006,1007.1176988001032
Index,9/1/2006,1023.0267974425929
Index,9/8/2006,1014.626904747278
Index,9/15/2006,1034.1881427759674
Index,9/22/2006,1029.4603539450475
Index,9/29/2006,1048.4844682411672
Index,10/6/2006,1063.4797324222116
Index,10/13/2006,1080.056017719454
Index,10/20/2006,1080.0409756726485
Index,10/27/2006,1089.3201945168867
Index,11/3/2006,1079.2466636139511
Index,11/10/2006,1094.4121760052892
Index,11/17/2006,1112.1843627411715
Index,11/24/2006,1116.8296683693814
Index,12/1/2006,1111.6671647691824
Index,12/8/2006,1122.052243851409
Index,12/15/2006,1133.9341802694967
Index,12/22/2006,1120.1750115074851
Index,12/29/2006,1125.7490028295554
Index,1/5/2007,1120.314574053327
Index,1/12/2007,1140.7901540280411
Index,1/19/2007,1142.0122079554028
Index,1/26/2007,1135.2792941271389
Index,2/2/2007,1158.8426666451094
Index,2/9/2007,1152.0993377721945
Index,2/16/2007,1166.707829180206
Index,2/23/2007,1165.5416540932392
Index,3/2/2007,1109.5853226053887
Index,3/9/2007,1126.0529764378937
Index,3/16/2007,1113.3971088584085
Index,3/23/2007,1151.4034937784413
Index,3/30/2007,1136.945642878519
Index,4/6/2007,1156.8720891676073
Index,4/13/2007,1163.3488591762114
Index,4/20/2007,1184.998378337075
Index,4/27/2007,1194.5887883280852
Index,5/4/2007,1204.3407262650794
Index,5/11/2007,1206.1857465921314
Index,5/18/2007,1215.2989489486802
Index,5/25/2007,1212.9217199999111
Index,6/1/2007,1233.967306753684
Index,6/8/2007,1209.6437957022226
Index,6/15/2007,1231.2175597230018
Index,6/22/2007,1211.7350715037903
Index,6/29/2007,1209.4934561146524
Index,7/6/2007,1234.4461466118587
Index,7/13/2007,1249.4538900669106
Index,7/20/2007,1237.996458478895
Index,7/27/2007,1167.9244987476059
Index,8/3/2007,1150.7857546846396
Index,8/10/2007,1159.2232557584778
Index,8/17/2007,1149.4205128761885
Index,8/24/2007,1184.6508343680584
Index,8/31/2007,1184.850648917156
Index,9/7/2007,1165.6219724192279
Index,9/14/2007,1189.386540803837
Index,9/21/2007,1222.9253415488915
Index,9/28/2007,1223.2173959295428
Index,10/5/2007,1253.6625524946262
Index,10/12/2007,1254.5098958664985
Index,10/19/2007,1201.9768819185904
Index,10/26/2007,1230.232617041423
Index,11/2/2007,1211.0251590031512
Index,11/9/2007,1157.7991437463318
Index,11/16/2007,1161.3758167508968
Index,11/23/2007,1142.5369682496457
Index,11/30/2007,1177.7193264046805
Index,12/7/2007,1198.8045928582367
Index,12/14/2007,1163.959369097566
Index,12/21/2007,1176.5535885181473
Index,12/28/2007,1169.9644176142763
Index,1/4/2008,1113.4720667088775
Index,1/11/2008,1098.8813689439528
Index,1/18/2008,1042.1551541139456
Index,1/25/2008,1061.817419613162
Index,2/1/2008,1120.2446098049422
Index,2/8/2008,1067.4483283122747
Index,2/15/2008,1083.4947270846667
Index,2/22/2008,1088.8145098137911
Index,2/29/2008,1064.8892082584186
Index,3/7/2008,1034.8180031195309
Index,3/14/2008,1033.3183691078452
Index,3/21/2008,1062.467754741062
Index,3/28/2008,1055.5472151201689
Index,4/4/2008,1103.6563516220813
Index,4/11/2008,1071.091323009657
Index,4/18/2008,1119.9499440002223
Index,4/25/2008,1127.1730952447847
Index,5/2/2008,1145.3056343414567
Index,5/9/2008,1124.2648439577047
Index,5/16/2008,1159.4489877664478
Index,5/23/2008,1112.7481682059772
Index,5/30/2008,1134.787108244563
Index,6/6/2008,1100.4612334404796
Index,6/13/2008,1100.7641090950335
Index,6/20/2008,1065.8152128572035
Index,6/27/2008,1026.408950122628
Index,7/4/2008,1006.1685429638054
Index,7/11/2008,982.9968394948288
Index,7/18/2008,1020.4583861780848
Index,7/25/2008,1012.8727689677444
Index,8/1/2008,1014.6466930185026
Index,8/8/2008,1051.4453681324387
Index,8/15/2008,1059.02502138848
Index,8/22/2008,1049.4904004501525
Index,8/29/2008,1045.793399276778
Index,9/5/2008,1014.7292819247456
Index,9/12/2008,1026.2614978215195
Index,9/19/2008,1019.779805464244
Index,9/26/2008,986.8197946201166
Index,10/3/2008,880.0809817100545
Index,10/10/2008,732.086888301006
Index,10/17/2008,749.530948204309
Index,10/24/2008,683.3726185863018
Index,10/31/2008,774.9165022915864
Index,11/7/2008,733.7939092455056
Index,11/14/2008,680.509503913671
Index,11/21/2008,611.0380999894311
Index,11/28/2008,703.4262934931327
Index,12/5/2008,695.6520953157709
Index,12/12/2008,698.0342959797771
Index,12/19/2008,708.1590290674454
Index,12/26/2008,695.0368232127607
Index,1/2/2009,746.549155541728
Index,1/9/2009,713.5045292556131
Index,1/16/2009,674.4411946220081
Index,1/23/2009,654.6141877167738
Index,1/30/2009,650.3543879972424
Index,2/6/2009,685.1407952754203
Index,2/13/2009,648.7441906777041
Index,2/20/2009,600.0859403105633
Index,2/27/2009,577.4655690588671
Index,3/6/2009,532.7141599874318
Index,3/13/2009,601.3365594635002
Index,3/20/2009,611.3854261393192
Index,3/27/2009,656.6945019898155
Index,4/3/2009,687.4048748360858
Index,4/10/2009,704.2075072520198
Index,4/17/2009,721.8976877868204
Index,4/24/2009,724.6014318168678
Index,5/1/2009,733.2635102940977
Index,5/8/2009,780.7154503947384
Index,5/15/2009,733.5761762538134
Index,5/22/2009,740.6325599798098
Index,5/29/2009,768.7268436618426
Index,6/5/2009,790.146370703384
Index,6/12/2009,792.8213854798909
Index,6/19/2009,769.173384869886
Index,6/26/2009,765.0933726213318
Index,7/3/2009,744.4090455834947
Index,7/10/2009,728.9134887591845
Index,7/17/2009,784.7652766875613
Index,7/24/2009,820.3126781713595
Index,7/31/2009,830.5720726411328
Index,8/7/2009,862.8785247302312
Index,8/14/2009,854.083820883488
Index,8/21/2009,872.2559993786122
Index,8/28/2009,877.8350613814018
Index,9/4/2009,865.0943055410592
Index,9/11/2009,892.0676045776053
Index,9/18/2009,917.2742689092796
Index,9/25/2009,892.9635126731806
Index,10/2/2009,874.3496663871358
Index,10/9/2009,917.1534312411873
