Symbol,Date,Close
AMZN,01/07/2005,42.36
AMZN,01/14/2005,44.55
AMZN,01/21/2005,41.24
AMZN,01/28/2005,42.22
AMZN,02/04/2005,35.75
AMZN,02/11/2005,35.79
AMZN,02/18/2005,35.3
AMZN,02/25/2005,34.96
AMZN,03/04/2005,35.85
AMZN,03/11/2005,34.71
AMZN,03/18/2005,34.12
AMZN,03/25/2005,32.87
AMZN,04/01/2005,34.0
AMZN,04/08/2005,34.6
AMZN,04/15/2005,33.03
AMZN,04/22/2005,33.04
AMZN,04/29/2005,32.36
AMZN,05/06/2005,34.52
AMZN,05/13/2005,33.91
AMZN,05/20/2005,35.49
AMZN,05/27/2005,35.5
AMZN,06/03/2005,35.55
AMZN,06/10/2005,34.95
AMZN,06/17/2005,35.29
AMZN,06/24/2005,35.03
AMZN,07/01/2005,32.92
AMZN,07/08/2005,34.74
AMZN,07/15/2005,37.14
AMZN,07/22/2005,37.95
AMZN,07/29/2005,45.16
AMZN,08/05/2005,45.28
AMZN,08/12/2005,44.18
AMZN,08/19/2005,43.72
AMZN,08/26/2005,42.4
AMZN,09/02/2005,41.5
AMZN,09/09/2005,42.96
AMZN,09/16/2005,42.79
AMZN,09/23/2005,42.18
AMZN,09/30/2005,45.38
AMZN,10/07/2005,43.71
AMZN,10/14/2005,43.8
AMZN,10/21/2005,45.94
AMZN,10/28/2005,38.94
AMZN,11/04/2005,41.09
AMZN,11/11/2005,42.71
AMZN,11/18/2005,47.89
AMZN,11/25/2005,48.06
AMZN,12/02/2005,49.05
AMZN,12/09/2005,48.71
AMZN,12/16/2005,49.21
AMZN,12/23/2005,49.22
AMZN,12/30/2005,47.14
AMZN,01/06/2006,47.85
AMZN,01/13/2006,44.38
AMZN,01/20/2006,43.92
AMZN,01/27/2006,45.21
AMZN,02/03/2006,38.33
AMZN,02/10/2006,38.5
AMZN,02/17/2006,39.18
AMZN,02/24/2006,38.29
AMZN,03/03/2006,37.21
AMZN,03/10/2006,36.21
AMZN,03/17/2006,36.0
AMZN,03/24/2006,35.46
AMZN,03/31/2006,36.53
AMZN,04/07/2006,37.05
AMZN,04/14/2006,36.58
AMZN,04/21/2006,36.05
AMZN,04/28/2006,35.24
AMZN,05/05/2006,35.04
AMZN,05/12/2006,32.75
AMZN,05/19/2006,33.94
AMZN,05/26/2006,36.07
AMZN,06/02/2006,34.76
AMZN,06/09/2006,33.76
AMZN,06/16/2006,35.07
AMZN,06/23/2006,36.53
AMZN,06/30/2006,38.69
AMZN,07/07/2006,36.11
AMZN,07/14/2006,32.96
AMZN,07/21/2006,33.2
AMZN,07/28/2006,27.17
AMZN,08/04/2006,27.27
AMZN,08/11/2006,26.08
AMZN,08/18/2006,29.11
AMZN,08/25/2006,28.0
AMZN,09/01/2006,31.79
AMZN,09/08/2006,30.5
AMZN,09/15/2006,32.55
AMZN,09/22/2006,30.84
AMZN,09/29/2006,32.12
AMZN,10/06/2006,32.6
AMZN,10/13/2006,33.31
AMZN,10/20/2006,32.56
AMZN,10/27/2006,38.18
AMZN,11/03/2006,37.5
AMZN,11/10/2006,39.26
AMZN,11/17/2006,42.62
AMZN,11/24/2006,42.41
AMZN,12/01/2006,39.41
AMZN,12/08/2006,38.48
AMZN,12/15/2006,40.03
AMZN,12/22/2006,40.23
AMZN,12/29/2006,39.47
AMZN,01/05/2007,38.37
AMZN,01/12/2007,38.21
AMZN,01/19/2007,36.99
AMZN,01/26/2007,36.82
AMZN,02/02/2007,37.41
AMZN,02/09/2007,38.69
AMZN,02/16/2007,40.33
AMZN,02/23/2007,40.78
AMZN,03/02/2007,37.69
AMZN,03/09/2007,38.85
AMZN,03/16/2007,37.85
AMZN,03/23/2007,38.98
AMZN,03/30/2007,39.78
AMZN,04/06/2007,41.68
AMZN,04/13/2007,42.41
AMZN,04/20/2007,44.97
AMZN,04/27/2007,62.68
AMZN,05/04/2007,63.29
AMZN,05/11/2007,61.53
AMZN,05/18/2007,63.3
AMZN,05/25/2007,68.51
AMZN,06/01/2007,68.63
AMZN,06/08/2007,73.24
AMZN,06/15/2007,72.45
AMZN,06/22/2007,68.98
AMZN,06/29/2007,68.41
AMZN,07/06/2007,68.95
AMZN,07/13/2007,75.1
AMZN,07/20/2007,71.63
AMZN,07/27/2007,84.08
AMZN,08/03/2007,76.71
AMZN,08/10/2007,74.79
